Series,Part Number,Name,Subcategory,Images,Comments
Drift,8031,"Side Chair, Wood Swivel Base",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8031F,"Side Chair, Wood Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8031P,"Side Chair, Wood Swivel Base, Arm Patches",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8031PF,"Side Chair, Wood Swivel Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8033,"Low Back Lounge, Wood Swivel Base",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8033F,"Low Back Lounge, Wood Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8033P,"Low Back Lounge, Wood Swivel Base, Arm Patches",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8033PF,"Low Back Lounge, Wood Swivel Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8035,"Mid Back Lounge, Wood Swivel Base",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8035F,"Mid Back Lounge, Wood Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8035P,"Mid Back Lounge, Wood Swivel Base, Arm Patches",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8035PF,"Mid Back Lounge, Wood Swivel Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8037,"High Back Lounge, Wood Swivel Base",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8037F,"High Back Lounge, Wood Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8037P,"High Back Lounge, Wood Swivel Base, Arm Patches",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8037PF,"High Back Lounge, Wood Swivel Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8037PH,"High Back Lounge, Wood Swivel Base, Head & Arm Patches",Lounge + Side Chairs - Wood Swivel Base,TRUE,
